"Model","WT500 (760203)"
"Comment",""
"Version","1.31"
"Date","2025/12/19"
"Time","09:12:11"

"<Settings>"
"Wiring","NONE"
"Element","Element1","Element2","Element3"
"Module","1kV40A","1kV40A","1kV40A"
"Wiring","1P2W","1P2W","1P2W"
"Voltage Range","15V","15V","15V"
"Terminal","Direct","Direct","Direct"
"Current Range","      1A","      1A","      1A"
"Sensor Ratio","10.0000","10.0000","10.0000"
"Line Filter","Off","Off","Off"
"Frequency Filter","Off","Off","Off"
"Scaling","On"
"Vt Ratio","1.0000","1.0000","1.0000"
"Ct Ratio","1.0000","1.0000","1.0000"
"Scaling Factor","1.0000","1.0000","1.0000"
"Sync Source","U1","U1","U1"
"Average","Off"
"F1","Off"
"F2","Off"
"F3","Off"
"F4","Off"
"F5","Off"
"F6","Off"
"F7","Off"
"F8","Off"
"S,Q Formula","Type 1"
"Phase Angle","180 degree"
"Max Hold","Off"
"Null","Off"
"Measurement Mode","Normal Mode"
"Update Rate","100ms"
"Crest Factor","3"
"Delta Measure Mode","RMS"

"<Settings (Harmonics)>"
"PLL Source","U3"
"Order","1 To 50"
"THD Formula","Total"

"Store No.","Date","Time","Urms-E1","Umn-E1","Urmn-E1","Udc-E1","Uac-E1","Irms-E1","Imn-E1","Irmn-E1","Idc-E1","Iac-E1","P-E1","S-E1","Q-E1","PF-E1","DEG-E1","FU-E1","FI-E1","U+pk-E1","U-pk-E1","I+pk-E1","I-pk-E1","CfU-E1","CfI-E1","Time-E1","Wp-E1","Wp+-E1","Wp--E1","q-E1","q+-E1","q--E1","WS-E1","WQ-E1","Urms-E2","Umn-E2","Urmn-E2","Udc-E2","Uac-E2","Irms-E2","Imn-E2","Irmn-E2","Idc-E2","Iac-E2","P-E2","S-E2","Q-E2","PF-E2","DEG-E2","FU-E2","FI-E2","U+pk-E2","U-pk-E2","I+pk-E2","I-pk-E2","CfU-E2","CfI-E2","Time-E2","Wp-E2","Wp+-E2","Wp--E2","q-E2","q+-E2","q--E2","WS-E2","WQ-E2","eta1","eta2"
    1,  2025/12/19,09:06:13,5.0452E+00,5.6014E+00,5.0430E+00,5.0430E+00,150.49E-03,410.58E-03,454.75E-03,409.42E-03,409.42E-03,30.815E-03,2.0680E+00,2.0715E+00,-119.14E-03,0.9983E+00,-3.30E+00,Error,NAN,5.1153E+00,4.9848E+00,518.83E-03,316.79E-03,1.014E+00,1.264E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.000E+00,0.000E+00,0.000E+00,-1.0631E-03,0.000E+00,0.0000E+00,0.0000E+00,0.0000E+00,107.76E-06,0.0000E+00,77.792E-09,0.000E+00,0.000E+00,Error,Error,Error,NAN,62.168E-03,-66.544E-03,6.6327E-03,-7.2902E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
    2,  2025/12/19,09:06:13,5.0574E+00,5.6148E+00,5.0551E+00,5.0551E+00,151.67E-03,362.93E-03,402.26E-03,362.16E-03,362.16E-03,23.651E-03,1.8339E+00,1.8355E+00,-77.189E-03,0.9991E+00,-2.41E+00,Error,NAN,5.1153E+00,4.9975E+00,445.90E-03,313.64E-03,1.011E+00,1.229E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.000E+00,0.000E+00,0.000E+00,-1.4053E-03,0.000E+00,0.0000E+00,0.0000E+00,0.0000E+00,125.57E-06,0.0000E+00,100.69E-09,0.000E+00,0.000E+00,Error,Error,Error,NAN,57.401E-03,-61.777E-03,7.9538E-03,-6.1723E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
    3,  2025/12/19,09:06:14,5.0509E+00,5.6076E+00,5.0486E+00,5.0486E+00,150.61E-03,389.36E-03,431.40E-03,388.39E-03,388.39E-03,27.479E-03,1.9641E+00,1.9666E+00,-98.833E-03,0.9987E+00,-2.88E+00,Error,NAN,5.1089E+00,4.9927E+00,495.06E-03,323.39E-03,1.011E+00,1.271E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.000E+00,0.000E+00,0.000E+00,-1.3177E-03,0.000E+00,0.0000E+00,0.0000E+00,0.0000E+00,142.92E-06,0.0000E+00,308.86E-09,0.000E+00,0.000E+00,Error,Error,Error,NAN,60.579E-03,-69.722E-03,5.9213E-03,-6.2739E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
    4,  2025/12/19,09:06:14,5.0373E+00,5.5926E+00,5.0351E+00,5.0351E+00,150.23E-03,440.90E-03,488.35E-03,439.67E-03,439.67E-03,32.901E-03,2.2175E+00,2.2210E+00,-123.89E-03,0.9984E+00,-3.20E+00,Error,NAN,5.1089E+00,4.9768E+00,533.66E-03,346.35E-03,1.014E+00,1.210E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.000E+00,0.000E+00,0.000E+00,-1.3302E-03,0.000E+00,0.0000E+00,0.0000E+00,0.0000E+00,179.70E-06,0.0000E+00,-282.55E-09,0.000E+00,0.000E+00,Error,Error,Error,NAN,63.757E-03,-63.366E-03,6.7343E-03,-6.3756E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
    5,  2025/12/19,09:06:14,5.0248E+00,5.5788E+00,5.0227E+00,5.0227E+00,146.00E-03,491.90E-03,544.99E-03,490.66E-03,490.66E-03,34.820E-03,2.4684E+00,2.4717E+00,-127.15E-03,0.9987E+00,-2.95E+00,Error,NAN,5.0962E+00,4.9641E+00,621.12E-03,398.76E-03,1.014E+00,1.263E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.000E+00,0.000E+00,0.000E+00,-1.2601E-03,0.000E+00,0.0000E+00,0.0000E+00,0.0000E+00,127.49E-06,0.0000E+00,530.31E-09,0.000E+00,0.000E+00,Error,Error,Error,NAN,62.168E-03,-66.544E-03,6.5310E-03,-5.8674E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
    6,  2025/12/19,09:06:14,5.0123E+00,5.5647E+00,5.0100E+00,5.0100E+00,149.47E-03,542.79E-03,601.76E-03,541.77E-03,541.77E-03,33.135E-03,2.7190E+00,2.7206E+00,-94.156E-03,0.9994E+00,-1.98E+00,Error,NAN,5.0835E+00,4.9514E+00,633.11E-03,429.03E-03,1.014E+00,1.166E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.000E+00,0.000E+00,0.000E+00,-1.3827E-03,0.000E+00,0.0000E+00,0.0000E+00,0.0000E+00,115.74E-06,0.0000E+00,-199.27E-09,0.000E+00,0.000E+00,Error,Error,Error,NAN,68.524E-03,-64.955E-03,6.3278E-03,-6.8837E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
    7,  2025/12/19,09:06:14,5.0013E+00,5.5525E+00,4.9990E+00,4.9990E+00,149.96E-03,588.17E-03,652.55E-03,587.50E-03,587.50E-03,28.173E-03,2.9421E+00,2.9416E+00,0.000E+00,1.0000E+00,0.00E+00,Error,NAN,5.0707E+00,4.9482E+00,668.56E-03,504.31E-03,1.014E+00,1.137E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.000E+00,0.000E+00,0.000E+00,-1.4807E-03,0.000E+00,0.0000E+00,0.0000E+00,0.0000E+00,148.32E-06,0.0000E+00,271.06E-09,0.000E+00,0.000E+00,Error,Error,Error,NAN,60.579E-03,-60.188E-03,6.2261E-03,-6.0707E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
    8,  2025/12/19,09:06:14,5.0075E+00,5.5596E+00,5.0054E+00,5.0054E+00,145.40E-03,561.85E-03,623.13E-03,561.02E-03,561.02E-03,30.550E-03,2.8126E+00,2.8134E+00,-67.978E-03,0.9997E+00,-1.38E+00,Error,NAN,5.0739E+00,4.9482E+00,655.05E-03,480.03E-03,1.013E+00,1.166E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.000E+00,0.000E+00,0.000E+00,-1.4588E-03,0.000E+00,0.0000E+00,0.0000E+00,0.0000E+00,131.07E-06,0.0000E+00,-31.743E-09,0.000E+00,0.000E+00,Error,Error,Error,NAN,58.990E-03,-61.777E-03,7.8522E-03,-6.5788E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
    9,  2025/12/19,09:06:14,5.0199E+00,5.5731E+00,5.0176E+00,5.0176E+00,150.57E-03,511.24E-03,566.57E-03,510.09E-03,510.09E-03,34.171E-03,2.5636E+00,2.5663E+00,-118.87E-03,0.9989E+00,-2.65E+00,Error,NAN,5.0851E+00,4.9561E+00,610.56E-03,425.28E-03,1.013E+00,1.194E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.000E+00,0.000E+00,0.000E+00,-1.3399E-03,0.000E+00,0.0000E+00,0.0000E+00,0.0000E+00,110.46E-06,0.0000E+00,-221.94E-09,0.000E+00,0.000E+00,Error,Error,Error,NAN,55.811E-03,-60.188E-03,7.1408E-03,-6.4772E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   10,  2025/12/19,09:06:14,5.0329E+00,5.5876E+00,5.0306E+00,5.0306E+00,151.02E-03,459.96E-03,509.61E-03,458.81E-03,458.81E-03,32.458E-03,2.3119E+00,2.3149E+00,-117.72E-03,0.9987E+00,-2.91E+00,Error,NAN,5.1026E+00,4.9689E+00,560.28E-03,356.30E-03,1.014E+00,1.218E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.000E+00,0.000E+00,0.000E+00,-1.0877E-03,0.000E+00,0.0000E+00,0.0000E+00,0.0000E+00,146.21E-06,0.0000E+00,-165.18E-09,0.000E+00,0.000E+00,Error,Error,Error,NAN,68.524E-03,-58.599E-03,6.4294E-03,-6.9853E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
