"Model","WT500 (760203)"
"Comment",""
"Version","1.31"
"Date","2025/12/19"
"Time","12:02:11"

"<Settings>"
"Wiring","NONE"
"Element","Element1","Element2","Element3"
"Module","1kV40A","1kV40A","1kV40A"
"Wiring","1P2W","1P2W","1P2W"
"Voltage Range","15V","15V","15V"
"Terminal","Direct","Direct","Direct"
"Current Range","   500mA","   500mA","   500mA"
"Sensor Ratio","10.0000","10.0000","10.0000"
"Line Filter","Off","Off","Off"
"Frequency Filter","Off","Off","Off"
"Scaling","On"
"Vt Ratio","1.0000","1.0000","1.0000"
"Ct Ratio","1.0000","1.0000","1.0000"
"Scaling Factor","1.0000","1.0000","1.0000"
"Sync Source","U1","U1","U1"
"Average","Off"
"F1","Off"
"F2","Off"
"F3","Off"
"F4","Off"
"F5","Off"
"F6","Off"
"F7","Off"
"F8","Off"
"S,Q Formula","Type 1"
"Phase Angle","180 degree"
"Max Hold","Off"
"Null","Off"
"Measurement Mode","Normal Mode"
"Update Rate","100ms"
"Crest Factor","3"
"Delta Measure Mode","RMS"

"<Settings (Harmonics)>"
"PLL Source","U3"
"Order","1 To 50"
"THD Formula","Total"

"Store No.","Date","Time","Urms-E1","Umn-E1","Urmn-E1","Udc-E1","Uac-E1","Irms-E1","Imn-E1","Irmn-E1","Idc-E1","Iac-E1","P-E1","S-E1","Q-E1","PF-E1","DEG-E1","FU-E1","FI-E1","U+pk-E1","U-pk-E1","I+pk-E1","I-pk-E1","CfU-E1","CfI-E1","Time-E1","Wp-E1","Wp+-E1","Wp--E1","q-E1","q+-E1","q--E1","WS-E1","WQ-E1","Urms-E2","Umn-E2","Urmn-E2","Udc-E2","Uac-E2","Irms-E2","Imn-E2","Irmn-E2","Idc-E2","Iac-E2","P-E2","S-E2","Q-E2","PF-E2","DEG-E2","FU-E2","FI-E2","U+pk-E2","U-pk-E2","I+pk-E2","I-pk-E2","CfU-E2","CfI-E2","Time-E2","Wp-E2","Wp+-E2","Wp--E2","q-E2","q+-E2","q--E2","WS-E2","WQ-E2","eta1","eta2"
    1,  2025/12/19,11:57:54,5.0488E+00,5.6053E+00,5.0465E+00,5.0465E+00,150.58E-03,471.32E-03,522.71E-03,470.61E-03,470.61E-03,25.921E-03,2.3789E+00,2.3796E+00,56.442E-03,0.9997E+00,1.36E+00,Error,NAN,5.1180E+00,4.9907E+00,532.73E-03,400.47E-03,1.014E+00,1.130E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.000E+00,0.000E+00,0.000E+00,-679.16E-06,0.000E+00,0.00E-03,0.00E-03,0.00E-03,5.4428E-06,0.00E-03,158.10E-09,0.0000E+00,0.0000E+00,Error,Error,Error,NAN,54.980E-03,-59.430E-03,6.9351E-03,-6.8351E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
    2,  2025/12/19,11:57:54,5.0722E+00,5.6313E+00,5.0700E+00,5.0700E+00,151.31E-03,369.49E-03,409.20E-03,368.41E-03,368.41E-03,28.172E-03,1.8709E+00,1.8741E+00,108.97E-03,0.9983E+00,3.33E+00,Error,NAN,5.1324E+00,5.0066E+00,448.92E-03,296.70E-03,1.012E+00,1.215E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.000E+00,0.000E+00,0.000E+00,-841.08E-06,0.000E+00,0.00E-03,0.00E-03,0.00E-03,-23.966E-06,0.00E-03,30.806E-09,0.0000E+00,0.0000E+00,Error,Error,Error,NAN,61.336E-03,-70.553E-03,7.1892E-03,-6.1745E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
    3,  2025/12/19,11:57:54,5.0844E+00,5.6448E+00,5.0821E+00,5.0821E+00,152.61E-03,317.74E-03,352.07E-03,316.98E-03,316.98E-03,22.074E-03,1.6136E+00,1.6155E+00,79.351E-03,0.9988E+00,2.82E+00,Error,NAN,5.1578E+00,5.0225E+00,384.42E-03,276.89E-03,1.014E+00,1.210E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.000E+00,0.000E+00,0.000E+00,-695.70E-06,0.000E+00,0.00E-03,0.00E-03,0.00E-03,-2.6737E-06,0.00E-03,30.191E-09,0.0000E+00,0.0000E+00,Error,Error,Error,NAN,67.692E-03,-70.553E-03,7.0876E-03,-5.9713E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
    4,  2025/12/19,11:57:54,5.0910E+00,5.6523E+00,5.0889E+00,5.0889E+00,147.85E-03,290.61E-03,322.37E-03,290.24E-03,290.24E-03,14.629E-03,1.4795E+00,1.4795E+00,0.0000E+00,1.0000E+00,0.00E+00,Error,NAN,5.1515E+00,5.0321E+00,353.64E-03,267.90E-03,1.012E+00,1.217E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.000E+00,0.000E+00,0.000E+00,-811.33E-06,0.000E+00,0.00E-03,0.00E-03,0.00E-03,-3.3059E-06,0.00E-03,89.024E-09,0.0000E+00,0.0000E+00,Error,Error,Error,NAN,70.870E-03,-57.841E-03,6.2237E-03,-6.4286E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
    5,  2025/12/19,11:57:54,5.0806E+00,5.6406E+00,5.0783E+00,5.0783E+00,152.50E-03,337.83E-03,374.33E-03,337.01E-03,337.01E-03,23.523E-03,1.7145E+00,1.7164E+00,80.955E-03,0.9989E+00,2.70E+00,Error,NAN,5.1451E+00,5.0210E+00,411.19E-03,283.75E-03,1.013E+00,1.217E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.000E+00,0.000E+00,0.000E+00,-703.79E-06,0.000E+00,0.00E-03,0.00E-03,0.00E-03,11.290E-06,0.00E-03,-239.76E-09,0.0000E+00,0.0000E+00,Error,Error,Error,NAN,66.103E-03,-62.608E-03,6.6811E-03,-7.2416E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
    6,  2025/12/19,11:57:55,5.0617E+00,5.6198E+00,5.0596E+00,5.0596E+00,147.06E-03,418.92E-03,464.21E-03,417.94E-03,417.94E-03,28.634E-03,2.1179E+00,2.1204E+00,103.82E-03,0.9988E+00,2.81E+00,Error,NAN,5.1324E+00,5.0019E+00,499.92E-03,336.57E-03,1.014E+00,1.193E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.000E+00,0.000E+00,0.000E+00,-593.88E-06,0.000E+00,0.00E-03,0.00E-03,0.00E-03,21.585E-06,0.00E-03,-61.971E-09,0.0000E+00,0.0000E+00,Error,Error,Error,NAN,78.815E-03,-65.786E-03,6.3254E-03,-5.9713E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
    7,  2025/12/19,11:57:55,5.0735E+00,5.6329E+00,5.0714E+00,5.0714E+00,147.44E-03,367.59E-03,407.27E-03,366.67E-03,366.67E-03,26.008E-03,1.8624E+00,1.8650E+00,97.894E-03,0.9986E+00,3.01E+00,Error,NAN,5.1483E+00,5.0114E+00,429.83E-03,300.46E-03,1.015E+00,1.169E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.000E+00,0.000E+00,0.000E+00,-408.04E-06,0.000E+00,0.00E-03,0.00E-03,0.00E-03,897.89E-09,0.00E-03,27.238E-09,0.0000E+00,0.0000E+00,Error,Error,Error,NAN,61.336E-03,-70.553E-03,7.2400E-03,-6.5302E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
    8,  2025/12/19,11:57:55,5.0851E+00,5.6456E+00,5.0828E+00,5.0828E+00,152.62E-03,316.41E-03,350.62E-03,315.67E-03,315.67E-03,21.690E-03,1.6072E+00,1.6090E+00,76.275E-03,0.9989E+00,2.72E+00,Error,NAN,5.1515E+00,5.0194E+00,383.61E-03,276.94E-03,1.013E+00,1.212E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.000E+00,0.000E+00,0.000E+00,-802.88E-06,0.000E+00,0.00E-03,0.00E-03,0.00E-03,19.817E-06,0.00E-03,247.76E-09,0.0000E+00,0.0000E+00,Error,Error,Error,NAN,62.925E-03,-65.786E-03,5.4616E-03,-6.0729E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
    9,  2025/12/19,11:57:55,5.0933E+00,5.6548E+00,5.0911E+00,5.0911E+00,147.90E-03,283.21E-03,314.33E-03,283.00E-03,283.00E-03,11.102E-03,1.4432E+00,1.4425E+00,0.0000E+00,1.0000E+00,0.00E+00,Error,NAN,5.1578E+00,5.0353E+00,318.90E-03,267.09E-03,1.013E+00,1.126E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.000E+00,0.000E+00,0.000E+00,-406.06E-06,0.000E+00,0.00E-03,0.00E-03,0.00E-03,25.005E-06,0.00E-03,106.47E-09,0.0000E+00,0.0000E+00,Error,Error,Error,NAN,64.514E-03,-67.375E-03,6.1729E-03,-5.8188E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   10,  2025/12/19,11:57:56,5.0583E+00,5.6158E+00,5.0560E+00,5.0560E+00,151.80E-03,431.78E-03,478.62E-03,430.91E-03,430.91E-03,27.322E-03,2.1823E+00,2.1840E+00,86.131E-03,0.9992E+00,2.26E+00,Error,NAN,5.1260E+00,4.9891E+00,506.67E-03,361.71E-03,1.013E+00,1.173E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.000E+00,0.000E+00,0.000E+00,-707.28E-06,0.000E+00,0.00E-03,0.00E-03,0.00E-03,66.356E-06,0.00E-03,246.57E-09,0.0000E+00,0.0000E+00,Error,Error,Error,NAN,54.980E-03,-65.786E-03,6.2237E-03,-6.6826E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
