"Model","WT500 (760203)"
"Comment",""
"Version","1.31"
"Date","2026/03/17"
"Time","10:46:33"

"<Settings>"
"Wiring","NONE"
"Element","Element1","Element2","Element3"
"Module","1kV40A","1kV40A","1kV40A"
"Wiring","1P2W","1P2W","1P2W"
"Voltage Range","300V","15V","15V"
"Terminal","Direct","Direct","Direct"
"Current Range","     10A","      1A","     10A"
"Sensor Ratio","10.0000","10.0000","10.0000"
"Line Filter","Off","Off","Off"
"Frequency Filter","Off","Off","Off"
"Scaling","On"
"Vt Ratio","1.0000","1.0000","1.0000"
"Ct Ratio","1.0000","1.0000","1.0000"
"Scaling Factor","1.0000","1.0000","1.0000"
"Sync Source","U1","U1","U1"
"Average","Off"
"F1","Off"
"F2","Off"
"F3","Off"
"F4","Off"
"F5","Off"
"F6","Off"
"F7","Off"
"F8","Off"
"S,Q Formula","Type 1"
"Phase Angle","180 degree"
"Max Hold","Off"
"Null","Off"
"Measurement Mode","Normal Mode"
"Update Rate","100ms"
"Crest Factor","3"
"Delta Measure Mode","RMS"

"<Settings (Harmonics)>"
"PLL Source","U3"
"Order","1 To 50"
"THD Formula","Total"

"Store No.","Date","Time","Urms-E1","Umn-E1","Urmn-E1","Udc-E1","Uac-E1","Irms-E1","Imn-E1","Irmn-E1","Idc-E1","Iac-E1","P-E1","S-E1","Q-E1","PF-E1","DEG-E1","FU-E1","FI-E1","U+pk-E1","U-pk-E1","I+pk-E1","I-pk-E1","CfU-E1","CfI-E1","Time-E1","Wp-E1","Wp+-E1","Wp--E1","q-E1","q+-E1","q--E1","WS-E1","WQ-E1","Urms-E2","Umn-E2","Urmn-E2","Udc-E2","Uac-E2","Irms-E2","Imn-E2","Irmn-E2","Idc-E2","Iac-E2","P-E2","S-E2","Q-E2","PF-E2","DEG-E2","FU-E2","FI-E2","U+pk-E2","U-pk-E2","I+pk-E2","I-pk-E2","CfU-E2","CfI-E2","Time-E2","Wp-E2","Wp+-E2","Wp--E2","q-E2","q+-E2","q--E2","WS-E2","WQ-E2","eta1","eta2"
    1,  2026/03/17,10:44:09,122.90E+00,123.67E+00,111.34E+00,40.706E-03,122.90E+00,9.4957E+00,9.3551E+00,8.4225E+00,473.33E-06,9.4957E+00,-1.1639E+03,1.1670E+03,-85.859E+00,-0.9973E+00,-175.78E+00,50.003E+00,NAN,173.21E+00,-173.16E+00,14.177E+00,-14.155E+00,1.409E+00,1.493E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.000E+00,0.000E+00,0.000E+00,-10.668E-03,0.000E+00,0.0000E+00,0.0000E+00,0.0000E+00,108.72E-06,0.0000E+00,-3.4346E-06,0.000E+00,0.000E+00,Error,Error,Error,NAN,102.38E-03,-99.430E-03,7.4452E-03,-6.1728E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
    2,  2026/03/17,10:44:10,122.58E+00,123.35E+00,111.05E+00,39.288E-03,122.58E+00,9.6759E+00,9.5367E+00,8.5861E+00,536.61E-06,9.6759E+00,-1.1830E+03,1.1860E+03,-84.954E+00,-0.9974E+00,-175.89E+00,49.999E+00,NAN,172.70E+00,-172.62E+00,14.424E+00,-14.404E+00,1.409E+00,1.491E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.000E+00,0.000E+00,0.000E+00,-10.797E-03,0.000E+00,0.0000E+00,0.0000E+00,0.0000E+00,118.43E-06,0.0000E+00,-4.1411E-06,0.000E+00,0.000E+00,Error,Error,Error,NAN,83.309E-03,-99.430E-03,6.0224E-03,-6.2744E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
    3,  2026/03/17,10:44:10,122.65E+00,123.43E+00,111.13E+00,36.873E-03,122.65E+00,9.7117E+00,9.5728E+00,8.6185E+00,-1.1160E-03,9.7117E+00,-1.1881E+03,1.1912E+03,-85.061E+00,-0.9974E+00,-175.90E+00,50.008E+00,NAN,172.73E+00,-172.75E+00,14.503E+00,-14.485E+00,1.408E+00,1.493E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.000E+00,0.000E+00,0.000E+00,-10.700E-03,0.000E+00,0.0000E+00,0.0000E+00,0.0000E+00,83.439E-06,0.0000E+00,-3.2351E-06,0.000E+00,0.000E+00,Error,Error,Error,NAN,94.432E-03,-107.37E-03,6.9371E-03,-6.4777E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
    4,  2026/03/17,10:44:10,122.77E+00,123.55E+00,111.23E+00,36.087E-03,122.77E+00,9.6594E+00,9.5199E+00,8.5709E+00,593.46E-06,9.6594E+00,-1.1828E+03,1.1858E+03,-85.349E+00,-0.9974E+00,-175.87E+00,50.016E+00,NAN,173.11E+00,-172.91E+00,14.406E+00,-14.402E+00,1.410E+00,1.491E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.000E+00,0.000E+00,0.000E+00,-10.834E-03,0.000E+00,0.0000E+00,0.0000E+00,0.0000E+00,74.459E-06,0.0000E+00,-2.8580E-06,0.000E+00,0.000E+00,Error,Error,Error,NAN,81.720E-03,-102.61E-03,6.5306E-03,-5.9695E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
    5,  2026/03/17,10:44:10,122.59E+00,123.38E+00,111.08E+00,42.880E-03,122.59E+00,9.6731E+00,9.5346E+00,8.5841E+00,2.1257E-03,9.6731E+00,-1.1828E+03,1.1859E+03,-84.851E+00,-0.9974E+00,-175.90E+00,50.013E+00,NAN,172.86E+00,-172.78E+00,14.409E+00,-14.424E+00,1.410E+00,1.491E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.000E+00,0.000E+00,0.000E+00,-10.807E-03,0.000E+00,0.0000E+00,0.0000E+00,0.0000E+00,87.819E-06,0.0000E+00,-4.1169E-06,0.000E+00,0.000E+00,Error,Error,Error,NAN,80.131E-03,-128.03E-03,6.0224E-03,-6.8842E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
    6,  2026/03/17,10:44:10,122.55E+00,123.34E+00,111.04E+00,28.146E-03,122.55E+00,9.6579E+00,9.5196E+00,8.5707E+00,509.59E-06,9.6579E+00,-1.1805E+03,1.1836E+03,-84.943E+00,-0.9974E+00,-175.88E+00,50.010E+00,NAN,172.82E+00,-172.72E+00,14.396E+00,-14.398E+00,1.410E+00,1.491E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.000E+00,0.000E+00,0.000E+00,-10.611E-03,0.000E+00,0.0000E+00,0.0000E+00,0.0000E+00,37.406E-06,0.0000E+00,-3.7391E-06,0.000E+00,0.000E+00,Error,Error,Error,NAN,86.487E-03,-96.252E-03,6.3273E-03,-6.2744E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
    7,  2026/03/17,10:44:11,122.71E+00,123.47E+00,111.16E+00,34.683E-03,122.71E+00,9.5568E+00,9.4154E+00,8.4768E+00,1.9259E-03,9.5568E+00,-1.1696E+03,1.1727E+03,-85.517E+00,-0.9973E+00,-175.82E+00,50.008E+00,NAN,172.98E+00,-172.97E+00,14.258E+00,-14.254E+00,1.410E+00,1.492E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.000E+00,0.000E+00,0.000E+00,-10.848E-03,0.000E+00,0.0000E+00,0.0000E+00,0.0000E+00,65.443E-06,0.0000E+00,-1.8632E-06,0.000E+00,0.000E+00,Error,Error,Error,NAN,81.720E-03,-97.841E-03,6.5306E-03,-6.6809E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
    8,  2026/03/17,10:44:11,122.68E+00,123.45E+00,111.14E+00,32.960E-03,122.68E+00,9.5294E+00,9.3892E+00,8.4533E+00,-3.1895E-03,9.5294E+00,-1.1659E+03,1.1691E+03,-85.653E+00,-0.9973E+00,-175.80E+00,50.001E+00,NAN,172.95E+00,-172.88E+00,14.249E+00,-14.239E+00,1.410E+00,1.495E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.000E+00,0.000E+00,0.000E+00,-10.510E-03,0.000E+00,0.0000E+00,0.0000E+00,0.0000E+00,94.247E-06,0.0000E+00,-2.9286E-06,0.000E+00,0.000E+00,Error,Error,Error,NAN,83.309E-03,-104.20E-03,6.4289E-03,-7.0874E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
    9,  2026/03/17,10:44:11,122.63E+00,123.39E+00,111.09E+00,39.674E-03,122.63E+00,9.5225E+00,9.3819E+00,8.4466E+00,-128.94E-06,9.5225E+00,-1.1646E+03,1.1677E+03,-85.392E+00,-0.9973E+00,-175.81E+00,50.003E+00,NAN,172.86E+00,-172.81E+00,14.211E+00,-14.210E+00,1.410E+00,1.492E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.000E+00,0.000E+00,0.000E+00,-10.483E-03,0.000E+00,0.0000E+00,0.0000E+00,0.0000E+00,157.83E-06,0.0000E+00,-4.7153E-06,0.000E+00,0.000E+00,Error,Error,Error,NAN,78.542E-03,-94.663E-03,6.6322E-03,-6.8842E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   10,  2026/03/17,10:44:11,122.76E+00,123.51E+00,111.20E+00,32.877E-03,122.76E+00,9.5340E+00,9.3922E+00,8.4559E+00,-271.03E-06,9.5340E+00,-1.1672E+03,1.1704E+03,-85.664E+00,-0.9973E+00,-175.80E+00,50.001E+00,NAN,172.98E+00,-173.01E+00,14.224E+00,-14.232E+00,1.409E+00,1.493E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.000E+00,0.000E+00,0.000E+00,-11.100E-03,0.000E+00,0.0000E+00,0.0000E+00,0.0000E+00,167.28E-06,0.0000E+00,-3.8540E-06,0.000E+00,0.000E+00,Error,Error,Error,NAN,94.432E-03,-105.79E-03,7.2419E-03,-6.5793E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
