"Model","WT500 (760203)"
"Comment",""
"Version","1.31"
"Date","2026/04/21"
"Time","09:33:19"

"<Settings>"
"Wiring","NONE"
"Element","Element1","Element2","Element3"
"Module","1kV40A","1kV40A","1kV40A"
"Wiring","1P2W","1P2W","1P2W"
"Voltage Range","300V","300V","300V"
"Terminal","Direct","Direct","Direct"
"Current Range","     40A","     40A","     40A"
"Sensor Ratio","10.0000","10.0000","10.0000"
"Line Filter","Off","Off","Off"
"Frequency Filter","Off","Off","Off"
"Scaling","On"
"Vt Ratio","1.0000","1.0000","1.0000"
"Ct Ratio","1.0000","1.0000","1.0000"
"Scaling Factor","1.0000","1.0000","1.0000"
"Sync Source","U1","U1","U1"
"Average","Off"
"F1","Off"
"F2","Off"
"F3","Off"
"F4","Off"
"F5","Off"
"F6","Off"
"F7","Off"
"F8","Off"
"S,Q Formula","Type 1"
"Phase Angle","180 degree"
"Max Hold","Off"
"Null","Off"
"Measurement Mode","Normal Mode"
"Update Rate","100ms"
"Crest Factor","3"
"Delta Measure Mode","RMS"

"<Settings (Harmonics)>"
"PLL Source","U3"
"Order","1 To 50"
"THD Formula","Total"

"Store No.","Date","Time","Urms-E1","Umn-E1","Urmn-E1","Udc-E1","Uac-E1","Irms-E1","Imn-E1","Irmn-E1","Idc-E1","Iac-E1","P-E1","S-E1","Q-E1","PF-E1","DEG-E1","FU-E1","FI-E1","U+pk-E1","U-pk-E1","I+pk-E1","I-pk-E1","CfU-E1","CfI-E1","Time-E1","Wp-E1","Wp+-E1","Wp--E1","q-E1","q+-E1","q--E1","WS-E1","WQ-E1","Urms-E2","Umn-E2","Urmn-E2","Udc-E2","Uac-E2","Irms-E2","Imn-E2","Irmn-E2","Idc-E2","Iac-E2","P-E2","S-E2","Q-E2","PF-E2","DEG-E2","FU-E2","FI-E2","U+pk-E2","U-pk-E2","I+pk-E2","I-pk-E2","CfU-E2","CfI-E2","Time-E2","Wp-E2","Wp+-E2","Wp--E2","q-E2","q+-E2","q--E2","WS-E2","WQ-E2","eta1","eta2"
    1,  2026/04/21,09:24:41,0.00E+00,0.00E+00,0.00E+00,-18.760E-03,0.00E+00,0.000E+00,0.000E+00,0.000E+00,-893.71E-06,0.000E+00,18.664E-06,0.000E+03,0.000E+03,Error,Error,Error,NAN,341.41E-03,-390.81E-03,34.951E-03,-31.064E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,235.81E+00,236.43E+00,212.86E+00,-126.67E-03,235.81E+00,0.000E+00,0.000E+00,0.000E+00,302.29E-06,0.000E+00,-308.42E-03,0.000E+03,0.000E+03,Error,Error,50.007E+00,NAN,342.28E+00,-342.09E+00,148.46E-03,-171.60E-03,1.452E+00,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
    2,  2026/04/21,09:24:43,0.00E+00,0.00E+00,0.00E+00,-14.123E-03,0.00E+00,0.000E+00,0.000E+00,0.000E+00,-667.49E-06,0.000E+00,-8.5265E-06,0.000E+03,0.000E+03,Error,Error,Error,NAN,373.25E-03,-454.48E-03,29.873E-03,-36.142E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,235.78E+00,236.40E+00,212.83E+00,-140.31E-03,235.78E+00,0.000E+00,0.000E+00,0.000E+00,267.12E-06,0.000E+00,-378.14E-03,0.000E+03,0.000E+03,Error,Error,50.013E+00,NAN,342.09E+00,-342.31E+00,178.94E-03,-141.12E-03,1.452E+00,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
    3,  2026/04/21,09:24:45,0.00E+00,0.00E+00,0.00E+00,-15.193E-03,0.00E+00,0.000E+00,0.000E+00,0.000E+00,-230.54E-06,0.000E+00,543.45E-09,0.000E+03,0.000E+03,Error,Error,Error,NAN,373.25E-03,-358.97E-03,34.951E-03,-31.064E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,235.85E+00,236.44E+00,212.87E+00,-180.24E-03,235.85E+00,0.000E+00,0.000E+00,0.000E+00,-224.10E-06,0.000E+00,-1.7973E+00,0.000E+03,0.000E+03,Error,Error,50.016E+00,NAN,342.31E+00,-342.40E+00,163.70E-03,-166.52E-03,1.452E+00,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
    4,  2026/04/21,09:24:47,4.3150E+00,0.00E+00,0.00E+00,4.0917E+00,0.00E+00,18.701E+00,19.718E+00,17.753E+00,17.752E+00,5.8808E+00,80.743E+00,80.693E+00,0.000E+03,1.0000E+00,0.00E+00,Error,NAN,5.1804E+00,-295.30E-03,20.698E+00,-31.064E-03,1.201E+00,1.107E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,235.67E+00,236.31E+00,212.75E+00,-87.979E-03,235.67E+00,585.46E-03,0.000E+00,0.000E+00,94.383E-03,577.80E-03,-104.05E+00,137.97E+00,-90.608E+00,-0.7541E+00,-138.95E+00,50.023E+00,NAN,342.54E+00,-342.40E+00,2.5819E+00,-1.1877E+00,1.453E+00,4.410E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
    5,  2026/04/21,09:24:49,0.00E+00,0.00E+00,0.00E+00,-16.224E-03,0.00E+00,0.000E+00,0.000E+00,0.000E+00,-992.34E-06,0.000E+00,17.627E-06,0.000E+03,0.000E+03,Error,Error,Error,NAN,341.41E-03,-390.81E-03,29.873E-03,-36.142E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,235.80E+00,236.44E+00,212.87E+00,-180.23E-03,235.80E+00,0.000E+00,0.000E+00,0.000E+00,-679.24E-06,0.000E+00,-537.73E-03,0.000E+03,0.000E+03,Error,Error,50.029E+00,NAN,342.47E+00,-342.59E+00,153.54E-03,-156.36E-03,1.453E+00,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
    6,  2026/04/21,09:24:51,0.00E+00,0.00E+00,0.00E+00,-16.039E-03,0.00E+00,0.000E+00,0.000E+00,0.000E+00,-713.88E-06,0.000E+00,36.769E-06,0.000E+03,0.000E+03,Error,Error,Error,NAN,341.41E-03,-422.64E-03,29.873E-03,-36.142E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,235.57E+00,236.22E+00,212.67E+00,-196.95E-03,235.57E+00,0.000E+00,0.000E+00,0.000E+00,242.91E-06,0.000E+00,-536.01E-03,0.000E+03,0.000E+03,Error,Error,50.023E+00,NAN,342.00E+00,-342.02E+00,168.78E-03,-151.28E-03,1.452E+00,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
    7,  2026/04/21,09:24:53,0.00E+00,0.00E+00,0.00E+00,-16.380E-03,0.00E+00,0.000E+00,0.000E+00,0.000E+00,-742.80E-06,0.000E+00,11.156E-06,0.000E+03,0.000E+03,Error,Error,Error,NAN,373.25E-03,-390.81E-03,29.873E-03,-41.220E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,235.76E+00,236.36E+00,212.80E+00,-121.79E-03,235.76E+00,0.000E+00,0.000E+00,0.000E+00,14.381E-06,0.000E+00,-491.16E-03,0.000E+03,0.000E+03,Error,Error,50.031E+00,NAN,342.22E+00,-342.18E+00,163.70E-03,-151.28E-03,1.452E+00,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
    8,  2026/04/21,09:24:55,0.00E+00,0.00E+00,0.00E+00,-15.115E-03,0.00E+00,0.000E+00,0.000E+00,0.000E+00,-566.68E-06,0.000E+00,11.798E-06,0.000E+03,0.000E+03,Error,Error,Error,NAN,341.41E-03,-422.64E-03,29.873E-03,-31.064E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,235.63E+00,236.23E+00,212.68E+00,-118.18E-03,235.63E+00,0.000E+00,0.000E+00,0.000E+00,-337.89E-06,0.000E+00,-726.00E-03,0.000E+03,0.000E+03,Error,Error,50.025E+00,NAN,341.90E+00,-341.89E+00,163.70E-03,-171.60E-03,1.451E+00,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
    9,  2026/04/21,09:24:57,0.00E+00,0.00E+00,0.00E+00,-14.962E-03,0.00E+00,0.000E+00,0.000E+00,0.000E+00,743.22E-06,0.000E+00,-24.183E-06,0.000E+03,0.000E+03,Error,Error,Error,NAN,309.58E-03,-422.64E-03,29.873E-03,-36.142E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,235.83E+00,236.46E+00,212.88E+00,-25.351E-03,235.83E+00,0.000E+00,0.000E+00,0.000E+00,-475.32E-06,0.000E+00,-1.8010E+00,0.000E+03,0.000E+03,Error,Error,50.042E+00,NAN,342.28E+00,-342.37E+00,168.78E-03,-171.60E-03,1.452E+00,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   10,  2026/04/21,09:24:59,3.6521E+00,0.00E+00,0.00E+00,2.9456E+00,2.1589E+00,15.841E+00,14.232E+00,12.814E+00,12.811E+00,9.3175E+00,57.912E+00,57.851E+00,0.000E+03,1.0000E+00,0.00E+00,Error,NAN,5.1486E+00,-390.81E-03,20.642E+00,-36.142E-03,1.410E+00,1.303E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,235.50E+00,236.17E+00,212.63E+00,-21.390E-03,235.50E+00,510.49E-03,0.000E+00,0.000E+00,-101.58E-03,500.28E-03,-75.416E+00,120.22E+00,-93.624E+00,-0.6273E+00,-128.85E+00,50.037E+00,NAN,341.96E+00,-341.93E+00,1.1086E+00,-2.4577E+00,1.452E+00,4.814E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
